reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
51c29b18-7300-4d05-94e7-6d7128342f5c,TARUN KUMAR GUPTA IIM JAMMU,https://play-lh.googleusercontent.com/a-/ALV-UjWnZjjpiv23kqjWs0mNshqSKW1O7lCR128uZ05mb1UBMutb9FL1,"They have blocked my account for no reason, i have not even shared any inappropriate video. Such a shame , i took the premium subscription for a day as well. Losers!! Your team must send the proof ofthe same to me",1,2,5.364.0,2024-04-10 14:33:18,"We want to take a look at this. Please message us at @BumbleSupport on Twitter or Facebook. Or, you can contact us via bumble.com/contact.",2024-04-10 15:35:07,5.364.0
6dfc16fa-9367-450b-aa86-4dc0cbad9403,vinoo jakhia,https://play-lh.googleusercontent.com/a/ACg8ocLtFO5nv_51bOm2-J4QAu5_qEz8k8dwX3RXvCDw6lO6cnx9xA=mo,Good,4,0,,2024-04-10 14:24:35,"Thanks for sharing this feedback with us—we love that you're enjoying using the app! If you have any suggestions or improvements, feel free to contact us at @bumblesupport on Twitter or bumble.com/contact. 💌",2024-04-10 15:31:09,
6192e4f5-6998-4535-82d0-e478d8d827d7,Jatin Verma,https://play-lh.googleusercontent.com/a-/ALV-UjV8lGlWK6023VqVeNuYuN9bVGzBxQux4a0k_U2Rw8NxdbFwWrM,"This app is purely based for women who are looking to get married. If you are male then make sure that the app is designed in such a way that you will pay atleast 1000 per month just to get matched. Then it is entirely a female's call to talk to you or not. Everything is bounded with time, so that they can make you buy thier subscription of different types by triggering your impulsive behaviour. Million dollar recommendation: If you are a male then stay away from Bumble.",1,3,5.364.0,2024-04-10 14:21:32,"All of our core features are free to use. You don't have to pay to swipe, make matches, or send messages. We offer a few paid options to access additional features, but they're totally optional. You don't have to pay to make authentic connections in the Hive. If you have any questions, definitely reach out to our Support Team at bumble.com/contact",2024-04-10 15:31:07,5.364.0
e251cb7b-ca37-4920-a523-69a6e7c4c331,Rishin,https://play-lh.googleusercontent.com/a/ACg8ocLr8t8PpHp_MIDtye_SkAjOyyaO6L4SEsi0kyofNOpAhzOg=mo,good application and useful for singles,5,0,5.364.0,2024-04-10 14:12:18,Thanks. 💛 It's so great to know that you're enjoying our app.,2024-04-10 15:27:36,5.364.0
32648949-6b66-4414-99cf-c3aa00324bce,rahul bhaya,https://play-lh.googleusercontent.com/a/ACg8ocIrumgPf-D-LoeFITMxUn6GxylfApwAhOjI3P56HFsQUWxBQA=mo,Paywalls paywalls paywalls this app is the most hungry app for money on play store. Can't see likes. Delete this asap.,1,2,5.364.0,2024-04-10 14:11:41,"All of our core features are free to use. You don't have to pay to swipe, make matches, or send messages. We offer a few paid options to access additional features, but they're totally optional. You don't have to pay to make authentic connections in the Hive. If you have any questions, definitely reach out to our Support Team at bumble.com/contact",2024-04-10 15:23:38,5.364.0
3ebb1512-a3da-48bf-96e6-2e2b1248822e,Martin,https://play-lh.googleusercontent.com/a/ACg8ocJEHm0Hknm8gZ9e-K5lIH_N1DGNVSikWKVYmwKJqStkX1v26l0=mo,Used to be good until the Match Group ruined it.,1,2,5.364.0,2024-04-10 13:44:11,"We're sorry to hear about this. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-04-10 14:08:37,5.364.0
c8f364e2-46a2-4a64-bcfa-76b2915f1fb8,Reynaldo Dela Cruz,https://play-lh.googleusercontent.com/a/ACg8ocJ64ye38MqKDqnmo9hqRn4jmyYTzHHviJfU1JGsPP6ebHlUBRea=mo,same as other dating apps. skip this one..,1,1,,2024-04-10 13:39:44,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-04-10 14:08:06,
8d1bf6de-8cf9-47e7-96be-072f20f81812,Raymond Narsa,https://play-lh.googleusercontent.com/a/ACg8ocJ3MEa3NGrDM7eXL6M7s2prhMpW-NuklSKosxrVkdt0UafFMA=mo,too many spam,1,2,5.364.0,2024-04-10 13:25:42,"We take fake profiles seriously on our platform and have a team dedicated to investigating suspicious accounts. If you’re ever unsure about a profile, please report them in the app and we'll investigate right away!",2024-04-10 14:07:38,5.364.0
e0dbee9f-d059-42b3-9137-01ef5d0be677,Andy C,https://play-lh.googleusercontent.com/a-/ALV-UjUrzUmfKtgqN2dNFKjnTQIX-d_dQoWkZMeNH4dMRDJ96oaP2aEI,Trash app,1,3,5.364.0,2024-04-10 13:00:12,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-04-10 14:06:06,5.364.0
0b12904a-c928-4eec-bf6a-25f97d12d6e8,Arindam Ghosh,https://play-lh.googleusercontent.com/a-/ALV-UjXNDk2YEW52MXfC86hmPQVvtWh1IhBpFgrk7k8bKyNML771j4MC,Bad Experience & waste of money. I subscribed this app for one month & literally I didn't get any interest but as soon as I unsubscribe the next day I got 3 likes. It's AI is playing with fake likes. Especially being a premium member u can't msg anyone only likes & even then it for certain time then it get expired then u have extend it. Nobody can remain online for 24/7. Compliments r thr but its also paid. N numbers of ques which really makes no sense. Kaun banega crorepati thode khelna hai?,2,1,5.364.0,2024-04-10 12:33:27,"Thanks for reaching out. While our subscriptions are there to help maximize your experience, we can't promise exact results for anyone. If you’d like to talk to a Support Team Member about your profile to check everything is running as it should be, please message us here: bumble.com/contact.",2024-04-10 14:00:06,5.364.0
adb7476c-1b69-4908-99a0-59f4f66a5e6d,Horatiu Sirb,https://play-lh.googleusercontent.com/a/ACg8ocJcXZx3jslqqBQVJpYrFwzdvOQQEDyKb5edVIf32TMMYBeV-w=mo,"Zs, I de,,,, la, o zi de izi",5,0,5.356.1,2024-04-10 12:24:26,,,5.356.1
2661c74d-5400-4fcb-b358-8630223ab2b2,Ujval Patel,https://play-lh.googleusercontent.com/a/ACg8ocJfE60bcGD6tHB-5MSZBTx03ZP1sHdP0TACiYO9ACArbEzoDQ=mo,This app has complicated getting in touch with someone just for the sake of making money.,1,2,,2024-04-10 12:17:42,"We're sorry to hear about your negative experience! Bumble has a huge community of members from all over the world, and has helped create countless love stories. We understand how frustrating it can be, but we urge you to keep going and not lose hope. We're here to support you on @BumbleSupport! 💛",2024-04-10 14:22:37,
7fa8d119-0120-4ab0-9e96-654beca519ca,Siddhartha Kulshreshtha GST,https://play-lh.googleusercontent.com/a-/ALV-UjXjZZJP_a7NyU_aAZq-u3wLAkQn7GBHW0vaQdsdp5B_TkKsLag,fake,1,1,5.364.0,2024-04-10 12:10:05,"We're so sorry about your experience with us. We absolutely do not tolerate fake profiles on Bumble and would like to look into this. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can look into this.",2024-04-10 14:21:07,5.364.0
9fd41360-b6e8-4e8a-b12e-41a5348c2b69,Wiyaka,https://play-lh.googleusercontent.com/a-/ALV-UjXYHTKxzgZeBHJrdiDngELh8SI0c64mUaOB73W9j4NkvPqRHus,"Sorry All out of likesSorry All out of likesSorry All out of likesSorry All out of likes Edit Sorry out of likes can't reply to developer, If the bumble creator would like he can pay me a subscription to talk to me....update update",1,2,,2024-04-10 12:08:22,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-04-10 14:09:36,
151ab0a5-2780-4056-8021-dc692b293d4d,Mystic,https://play-lh.googleusercontent.com/a-/ALV-UjUpptnFtHDRI0tY04P9416DVMVT1Z4WVFacFIYKFVOZjL5o-iIJ,"U see the thing is I like the idea of women making the move but when they do, it's barely a move. They should be a maximum word count they should reach or there should be a smart sensing AI for example instead of just saying hi or ""."" As that would count for the move, they should be encouraged to start a whole Convo or a icebreaker that is valid enough to last for a hour. Idk how to explain but I'm tired of them making the first move when in the end, we have to carry the Convo.",3,1,,2024-04-10 12:02:43,"Sorry to hear you're having trouble connecting with your matches. Try sending a personalized, creative message or ask a question about something on their profile—that's sure to get the conversation started! You got this. 💛",2024-04-10 14:08:39,
915a7fbb-572b-4749-82d6-7389a338c6e6,Dima Sorokin,https://play-lh.googleusercontent.com/a/ACg8ocJqM2ulHyGETFtzltGd08yelu3fCq-lPJ6Iq3cHx6nSoRUNcW-i=mo,טוב מאוד,5,0,5.364.0,2024-04-10 11:18:17,,,5.364.0
8015e364-dfa5-4333-9e84-22885600a357,sourabh rai,https://play-lh.googleusercontent.com/a-/ALV-UjVWzNY0OPqL_hbj8m11_LNO3p1HPWoXVIRPLDikm55ZZf5ceKVqug,This is fraud and scam to all thing get subscribtion like msg for subscription like for subscription no one interact with me it's so fake I request to all don't west money and time,1,2,5.364.0,2024-04-10 11:08:54,"We appreciate your review, Sourabh. All of our core features are free to use. You don't have to pay to swipe, make matches, or send messages. We offer a few paid features, but they're totally optional. If you have any questions, definitely reach out to our Support Team at bumble.com/contact or @BumbleSupport on social media. 🐝",2024-04-10 16:06:37,5.364.0
